t x y z yaw pitch roll vx vy vz wx wy wz
1.327 -4.00001 -4 2 0.75 -1.76523e-11 1.84351e-09 1.42224e-09 -1.36655e-09 -1.04488e-08 -1.23137e-08 4.87104e-08 -3.08202e-09
1.337 -4.00001 -4 2 0.75 3.55507e-10 2.01988e-09 1.55759e-09 -1.48471e-09 -9.3165e-09 -1.58457e-08 3.79543e-08 -2.45326e-09
1.347 -4.00001 -4 2 0.75 7.16204e-10 2.04493e-09 1.76652e-09 -1.613e-09 -8.3932e-09 -2.51916e-08 1.35753e-08 -1.56421e-09
1.357 -4.00001 -4 2 0.75 8.99055e-10 1.84111e-09 1.94328e-09 -1.69409e-09 -7.93999e-09 -3.47063e-08 -1.22087e-08 -7.83411e-10
1.367 -4.00001 -4 2 0.75 9.97223e-10 1.34276e-09 2.1451e-09 -1.75203e-09 -5.88873e-09 -4.18866e-08 -3.15839e-08 -3.35015e-10
1.377 -4.00001 -4 2 0.75 1.02962e-09 7.76784e-10 2.29241e-09 -1.76237e-09 -2.79924e-09 -4.47302e-08 -3.91678e-08 -1.25336e-10
1.389 -4.00001 -4 2 0.75 1.03503e-09 9.94073e-11 2.42546e-09 -1.72881e-09 1.17279e-09 -4.59338e-08 -4.28597e-08 2.46151e-11
1.397 -4.00001 -4 2 0.75 1.03173e-09 -4.7159e-10 2.48573e-09 -1.65739e-09 4.62255e-09 -4.62954e-08 -4.39367e-08 7.33536e-11
1.407 -4.00001 -4 2 0.75 1.02407e-09 -1.06418e-09 2.50463e-09 -1.53191e-09 7.11343e-09 -3.70887e-08 -3.57579e-08 4.10763e-11
1.417 -4.00001 -4 2 0.75 1.01636e-09 -1.39675e-09 2.48875e-09 -1.3634e-09 7.14899e-09 -1.09433e-08 -1.11265e-08 -4.63079e-11
1.427 -4.00001 -4 2 0.75 1.0093e-09 -1.33708e-09 2.45896e-09 -1.18599e-09 7.22329e-09 1.50722e-08 1.28121e-08 -4.86805e-11
1.438 -4.00001 -4 2 0.75 9.99694e-10 -1.0401e-09 2.46061e-09 -1.03193e-09 9.43902e-09 2.68434e-08 2.39338e-08 -4.91886e-12
1.448 -4.00001 -4 2 0.75 9.92243e-10 -6.60894e-10 2.47308e-09 -9.02017e-10 1.17265e-08 2.6102e-08 2.33069e-08 2.89786e-12
1.459 -4.00001 -4 2 0.75 9.83182e-10 -4.4357e-10 2.52079e-09 -7.82005e-10 1.18238e-08 1.05722e-09 -6.00349e-10 -8.2245e-11
1.471 -4.00001 -4 2 0.75 9.18719e-10 -6.9564e-10 2.57037e-09 -6.65416e-10 1.17953e-08 -2.14875e-08 -3.42306e-08 4.27391e-10
1.477 -4.00001 -4 2 0.75 8.29566e-10 -9.99357e-10 2.5866e-09 -5.99666e-10 1.18468e-08 -3.0656e-08 -5.35269e-08 8.72232e-10
1.487 -4.00001 -4 2 0.75 6.04467e-10 -1.67396e-09 2.57821e-09 -4.81145e-10 1.18551e-08 -4.20133e-08 -8.04871e-08 1.61427e-09
1.498 -4.00001 -4 2 0.75 2.15842e-10 -2.60594e-09 2.45881e-09 -2.80903e-10 1.11159e-08 -3.03718e-08 -8.08704e-08 2.08966e-09
1.507 -4.00001 -4 2 0.75 -1.87802e-10 -3.19509e-09 2.26202e-09 -6.06146e-11 9.40234e-09 -1.37802e-09 -5.79177e-08 2.1444e-09
1.518 -4.00001 -4 2 0.75 -6.5203e-10 -3.29777e-09 1.97625e-09 1.84468e-10 6.48679e-09 4.28461e-08 -1.84456e-08 2.19853e-09
1.527 -4.00001 -4 2 0.75 -9.97257e-10 -2.92495e-09 1.75942e-09 3.3192e-10 3.8695e-09 7.90847e-08 1.49822e-08 2.2611e-09
1.537 -4.00001 -4 2 0.75 -1.39616e-09 -1.87653e-09 1.47711e-09 4.46644e-10 4.22622e-10 1.02522e-07 5.68098e-08 2.48657e-09
1.547 -4.00001 -4 2 0.75 -1.56088e-09 -6.15608e-10 1.2697e-09 4.43349e-10 -2.69375e-09 1.00707e-07 8.37798e-08 2.64888e-09
1.557 -4.00001 -4 2 0.75 -1.55729e-09 6.01345e-10 1.15476e-09 3.39076e-10 -5.4865e-09 7.64981e-08 7.89349e-08 2.49907e-09
1.567 -4.00001 -4 2 0.75 -1.45802e-09 1.46392e-09 1.11946e-09 1.53992e-10 -8.52562e-09 3.82633e-08 5.31493e-08 2.38743e-09
1.577 -4.00001 -4 2 0.75 -1.30778e-09 1.78646e-09 1.1561e-09 -7.73458e-11 -1.19968e-08 -8.13378e-09 1.54677e-08 2.32747e-09
