t x y z yaw pitch roll vx vy vz wx wy wz
1.12 -4.00001 -4 2 0.75 5.7933e-11 -6.23082e-11 -3.7049e-09 2.54638e-09 -1.66022e-09 -2.54983e-08 3.48323e-08 -2.5823e-09
1.13 -4.00001 -4 2 0.75 4.81262e-10 2.32062e-10 -3.68678e-09 2.56684e-09 -3.84093e-09 6.7465e-09 5.97919e-08 -2.60039e-09
1.14 -4.00001 -4 2 0.75 7.84465e-10 8.26378e-10 -3.60428e-09 2.58123e-09 -6.36924e-09 3.55452e-08 6.2474e-08 -2.72728e-09
1.15 -4.00001 -4 2 0.75 8.70698e-10 1.56768e-09 -3.45279e-09 2.55633e-09 -8.68761e-09 5.57329e-08 4.98021e-08 -2.63117e-09
1.16 -4.00001 -4 2 0.75 7.49495e-10 2.24531e-09 -3.24222e-09 2.47083e-09 -9.67661e-09 5.78019e-08 2.57126e-08 -2.05016e-09
1.17 -4.00001 -4 2 0.75 4.61135e-10 2.70939e-09 -3.01838e-09 2.33025e-09 -9.96193e-09 4.82825e-08 -2.85401e-10 -1.57967e-09
1.18 -4.00001 -4 2 0.75 1.2833e-10 2.91742e-09 -2.79536e-09 2.14171e-09 -9.53297e-09 2.82204e-08 -1.71794e-08 -1.88321e-09
1.19 -4.00001 -4 2 0.75 -1.22169e-10 2.86875e-09 -2.61003e-09 1.94498e-09 -9.07624e-09 3.61985e-09 -2.94609e-08 -2.39352e-09
1.2 -4.00001 -4 2 0.75 -3.08325e-10 2.46214e-09 -2.40455e-09 1.69592e-09 -8.68997e-09 -3.232e-08 -4.41994e-08 -3.19366e-09
1.21 -4.00001 -4 2 0.75 -3.30865e-10 1.76622e-09 -2.26833e-09 1.50357e-09 -8.24574e-09 -5.9647e-08 -5.0134e-08 -3.76433e-09
1.22 -4.00001 -4 2 0.75 -2.18404e-10 9.90306e-10 -2.19375e-09 1.37584e-09 -7.43587e-09 -6.61365e-08 -3.80266e-08 -3.67052e-09
1.23 -4.00001 -4 2 0.75 2.53671e-11 3.56784e-10 -2.15618e-09 1.31955e-09 -7.19811e-09 -5.72309e-08 -1.2918e-08 -3.3906e-09
1.24 -4.00001 -4 2 0.75 3.66432e-10 7.61419e-11 -2.13753e-09 1.32188e-09 -8.51085e-09 -3.06306e-08 2.23589e-08 -3.09231e-09
1.25 -4.00001 -4 2 0.75 7.6374e-10 2.8854e-10 -2.08161e-09 1.35033e-09 -1.05572e-08 2.0202e-09 5.83472e-08 -2.74196e-09
1.26 -4.00001 -4 2 0.75 1.12594e-09 7.45277e-10 -1.98949e-09 1.37546e-09 -1.10753e-08 1.3659e-08 6.52563e-08 -2.27208e-09
1.271 -4.00001 -4 2 0.75 1.30688e-09 1.0141e-09 -1.91591e-09 1.38443e-09 -1.10577e-08 1.49951e-08 6.11446e-08 -1.9539e-09
1.28 -4.00001 -4 2 0.75 1.69252e-09 1.62205e-09 -1.60578e-09 1.38945e-09 -1.07221e-08 7.74559e-09 3.03417e-08 -9.4246e-10
1.29 -4.00001 -4 2 0.75 1.78163e-09 1.73912e-09 -1.35567e-09 1.37943e-09 -1.04035e-08 -1.73126e-09 1.75945e-09 -9.34416e-11
1.3 -4.00001 -4 2 0.75 1.75619e-09 1.64606e-09 -1.08898e-09 1.36567e-09 -8.41671e-09 -7.27685e-09 -1.42124e-08 4.23874e-10
1.31 -4.00001 -4 2 0.75 1.68013e-09 1.45549e-09 -8.53276e-10 1.36467e-09 -5.31528e-09 -9.67024e-09 -2.12861e-08 6.43998e-10
1.32 -4.00001 -4 2 0.75 1.57027e-09 1.19734e-09 -6.2132e-10 1.37673e-09 -1.33745e-09 -1.07475e-08 -2.44146e-08 6.35705e-10
1.33 -4.00001 -4 2 0.75 1.46266e-09 9.48713e-10 -4.35374e-10 1.39898e-09 2.50386e-09 -1.09765e-08 -2.51596e-08 6.27523e-10
1.34 -4.00001 -4 2 0.75 1.35006e-09 6.93637e-10 -2.6832e-10 1.42854e-09 6.43864e-09 -1.08909e-08 -2.60353e-08 6.61959e-10
1.35 -4.00001 -4 2 0.75 1.2471e-09 4.62023e-10 -1.35057e-10 1.46247e-09 1.00165e-08 -1.10557e-08 -2.58557e-08 6.95235e-10
1.36 -4.00001 -4 2 0.75 1.13301e-09 2.0527e-10 -2.34324e-11 1.51451e-09 1.40108e-08 -1.09584e-08 -2.58113e-08 7.0173e-10
1.37 -4.00001 -4 2 0.75 1.00827e-09 -3.97357e-11 6.88904e-11 1.58803e-09 1.72514e-08 -3.13703e-09 -1.82064e-08 5.69776e-10
