x y z
0.709365 -1.50667 1.60328
0.715916 -1.50335 1.60244
0.72248 -1.50002 1.60156
0.72906 -1.49667 1.60065
0.735659 -1.49332 1.59971
0.742277 -1.48995 1.59872
0.748918 -1.48657 1.59771
0.755582 -1.48317 1.59665
0.762273 -1.47975 1.59557
0.768993 -1.47632 1.59444
0.775742 -1.47288 1.59328
0.782525 -1.46941 1.59208
0.789341 -1.46592 1.59084
0.796194 -1.46242 1.58957
0.803086 -1.45889 1.58826
0.810018 -1.45535 1.58691
0.816992 -1.45178 1.58552
0.82401 -1.44819 1.5841
0.831075 -1.44457 1.58264
0.838188 -1.44094 1.58114
0.84535 -1.43727 1.5796
0.852565 -1.43359 1.57802
0.859833 -1.42987 1.57641
0.867156 -1.42613 1.57475
0.874536 -1.42236 1.57306
0.881976 -1.41857 1.57133
0.889476 -1.41474 1.56956
0.897038 -1.41089 1.56775
0.904663 -1.407 1.5659
0.912355 -1.40309 1.56401
0.920113 -1.39914 1.56208
0.927939 -1.39516 1.56012
0.935836 -1.39115 1.55811
0.943804 -1.38711 1.55607
0.951844 -1.38303 1.55398
0.959959 -1.37892 1.55186
0.96815 -1.37477 1.5497
0.976417 -1.37059 1.5475
0.984761 -1.36637 1.54526
0.993185 -1.36212 1.54298
1.00169 -1.35783 1.54067
1.01028 -1.35351 1.53831
1.01894 -1.34914 1.53592
1.02769 -1.34474 1.53349
1.03653 -1.3403 1.53102
1.04545 -1.33582 1.52851
1.05446 -1.3313 1.52596
1.06355 -1.32675 1.52338
1.07273 -1.32215 1.52075
1.082 -1.31751 1.51809
1.09136 -1.31283 1.5154
1.1008 -1.30812 1.51266
1.11034 -1.30336 1.50989
1.11997 -1.29856 1.50709
1.12969 -1.29371 1.50424
1.13949 -1.28883 1.50136
1.14939 -1.2839 1.49844
1.15939 -1.27894 1.49549
1.16947 -1.27393 1.49251
1.17964 -1.26887 1.48948
1.18991 -1.26378 1.48643
1.20026 -1.25864 1.48333
1.21071 -1.25346 1.48021
1.22125 -1.24824 1.47705
1.23188 -1.24297 1.47385
1.24261 -1.23766 1.47062
1.25342 -1.23231 1.46736
1.26432 -1.22692 1.46407
1.27531 -1.22148 1.46074
1.28639 -1.216 1.45739
1.29756 -1.21047 1.454
1.30882 -1.20491 1.45058
1.32016 -1.1993 1.44713
1.33159 -1.19365 1.44365
1.3431 -1.18796 1.44013
1.3547 -1.18222 1.43659
1.36638 -1.17644 1.43302
1.37814 -1.17062 1.42942
1.38999 -1.16476 1.4258
1.40191 -1.15886 1.42214
1.41391 -1.15292 1.41846
1.42599 -1.14694 1.41475
1.43814 -1.14091 1.41101
1.45037 -1.13485 1.40725
1.46267 -1.12875 1.40346
1.47504 -1.1226 1.39965
1.48748 -1.11642 1.39581
1.49999 -1.1102 1.39195
1.51257 -1.10394 1.38807
1.5252 -1.09765 1.38416
1.5379 -1.09132 1.38023
1.55066 -1.08495 1.37627
1.56348 -1.07854 1.3723
1.57636 -1.0721 1.3683
1.58928 -1.06562 1.36429
1.60226 -1.05911 1.36025
1.61529 -1.05257 1.3562
1.62837 -1.04599 1.35212
1.64149 -1.03938 1.34803
1.65465 -1.03274 1.34392
1.66785 -1.02606 1.3398
1.68109 -1.01936 1.33565
1.69436 -1.01262 1.33149
1.70767 -1.00586 1.32732
1.721 -0.999061 1.32313
1.73437 -0.99224 1.31892
1.74775 -0.985391 1.3147
1.76116 -0.978515 1.31047
1.77458 -0.971614 1.30623
1.78803 -0.964688 1.30197
1.80148 -0.957738 1.2977
1.81494 -0.950764 1.29342
1.82841 -0.943768 1.28913
1.84188 -0.93675 1.28483
1.85536 -0.929712 1.28052
1.86883 -0.922653 1.27621
1.88229 -0.915575 1.27188
1.89575 -0.908479 1.26755
1.9092 -0.901365 1.26321
1.92263 -0.894235 1.25886
1.93604 -0.88709 1.25451
1.94943 -0.87993 1.25015
1.96279 -0.872756 1.24579
1.97613 -0.865569 1.24142
1.98944 -0.85837 1.23706
2.00271 -0.851161 1.23268
2.01594 -0.843941 1.22831
2.02913 -0.836713 1.22393
2.04228 -0.829476 1.21955
2.05538 -0.822232 1.21517
2.06843 -0.814983 1.2108
2.08143 -0.807728 1.20642
2.09436 -0.800468 1.20204
2.10724 -0.793206 1.19766
2.12005 -0.785941 1.19329
2.13279 -0.778676 1.18892
2.14547 -0.77141 1.18455
2.15807 -0.764144 1.18018
2.17059 -0.756881 1.17582
2.18303 -0.74962 1.17146
2.19538 -0.742363 1.16711
2.20765 -0.73511 1.16276
2.21983 -0.727864 1.15842
2.23192 -0.720623 1.15409
2.2439 -0.713391 1.14976
2.25579 -0.706167 1.14544
2.26758 -0.698953 1.14113
2.27925 -0.691749 1.13682
2.29082 -0.684556 1.13252
2.30228 -0.677376 1.12824
2.31362 -0.67021 1.12396
2.32484 -0.663058 1.11969
2.33595 -0.655921 1.11543
2.34692 -0.6488 1.11119
2.35778 -0.641696 1.10695
2.3685 -0.634611 1.10273
2.37909 -0.627544 1.09851
2.38954 -0.620497 1.09431
2.39986 -0.613471 1.09012
2.41003 -0.606467 1.08595
2.42007 -0.599484 1.08179
2.42995 -0.592525 1.07764
2.43969 -0.585591 1.0735
2.44928 -0.578681 1.06938
