t wx wy wz ax ay az
0.253 -0.00611313 0.0093566 0.00265285 0.0666092 -0.189314 9.58965
0.254 -0.0218433 -0.0035226 -0.0189274 -0.317525 -0.0247949 10.0424
0.255 -0.00403844 -0.00608601 -0.0235146 -0.497997 -0.0903074 10.0309
0.256 -0.00554411 0.014723 -0.021055 -0.196328 0.140793 9.7345
0.257 -0.0077261 0.010368 -0.0110836 -0.220054 -0.22056 9.7241
0.258 -0.00609636 0.00995003 0.0129755 -0.508384 -0.271993 9.87254
0.259 -0.00825488 0.0190178 0.00150521 -0.204417 -0.277908 9.78765
0.26 0.0112719 0.00288428 0.0123957 -0.257831 -0.116538 9.87102
0.261 0.0198279 0.0032924 0.00722042 -0.208936 -0.0654417 9.85526
0.262 -0.00710787 0.0166184 0.0162597 -0.271388 -0.177599 9.68735
0.263 -0.013878 0.0144204 0.0273095 -0.389162 -0.0555542 9.74958
0.264 0.0131168 0.000441236 0.000215815 -0.295162 -0.355138 9.80748
0.265 -0.020575 0.0138222 -0.0204386 -0.502983 -0.303295 9.83483
0.266 0.00535232 -0.000385272 -0.0157732 -0.381414 -0.152149 9.83985
0.267 -0.00478176 -0.00314784 -0.0198502 -0.215268 -0.282253 9.64199
0.268 -0.0138212 -0.00609079 0.000370905 -0.208778 -0.0867746 10.0766
0.269 0.0131606 -0.0116769 0.000873276 -0.354903 -0.202406 9.77436
0.27 -0.0183419 0.00921991 -0.00780361 -0.333801 -0.334086 9.90095
0.271 0.00202279 0.00967414 0.00681652 -0.260078 -0.170223 10.0302
0.272 0.0171187 -0.000177458 -0.0216997 -0.0582949 -0.0631239 9.77986
0.273 0.0212503 0.0118075 0.0111621 -0.225166 -0.159415 9.95157
0.274 -0.0186972 0.00169954 0.000781055 -0.2978 -0.19946 9.87156
0.275 -0.00154643 0.0140168 0.00313327 -0.203931 -0.18567 10.1104
0.276 0.0079094 0.0158799 0.00732041 -0.403031 -0.275627 10.0138
0.277 -0.00482436 0.00583066 -0.00615185 -0.40657 0.0527166 9.80856
0.278 -0.00167478 0.00335546 0.00666925 -0.204681 -0.284293 9.82516
0.279 -0.00447984 0.0197969 0.000854729 -0.283689 -0.2237 9.97068
0.28 -0.00887523 -0.0247769 -0.0147194 -0.0860149 -0.065491 9.84611
0.281 -0.00778322 0.00435255 -0.0111876 -0.15332 -0.147448 9.80177
0.282 0.0042037 0.0143424 -0.00177534 -0.215299 -0.163908 9.916
0.283 -0.00144079 0.0116398 -0.0171488 -0.243319 -0.308917 9.83088
